P [bar], T [Â°C]
5.051395507812500000e+03,5.261981201171875000e+02
4.110628417968750000e+03,5.582141723632812500e+02
4.479554687500000000e+03,6.808945312500000000e+02
6.809327148437500000e+03,4.874493713378906250e+02
4.643070312500000000e+03,5.200617675781250000e+02
7.604131835937500000e+03,5.175831909179687500e+02
8.033375488281250000e+03,6.059788208007812500e+02
3.253144775390625000e+03,6.034500732421875000e+02
4.001560546875000000e+03,5.571138916015625000e+02
5.597609863281250000e+03,4.509139404296875000e+02
5.065859375000000000e+03,4.633857116699218750e+02
7.650191894531250000e+03,6.877091064453125000e+02
3.025248535156250000e+03,5.398269042968750000e+02
3.432174804687500000e+03,6.170254516601562500e+02
3.783970703125000000e+03,5.476108398437500000e+02
3.337599121093750000e+03,4.258174438476562500e+02
4.712815917968750000e+03,6.185831298828125000e+02
2.545188476562500000e+03,7.228405761718750000e+02
8.506719726562500000e+03,6.578867797851562500e+02
3.239142089843750000e+03,5.214524536132812500e+02
8.485052734375000000e+03,6.944859619140625000e+02
4.029197265625000000e+03,4.390144653320312500e+02
2.968299560546875000e+03,4.073034057617187500e+02
3.441511230468750000e+03,6.169248657226562500e+02
3.277208007812500000e+03,4.574811096191406250e+02
7.935375976562500000e+03,5.479594116210937500e+02
4.083432617187500000e+03,6.531235351562500000e+02
5.561547851562500000e+03,5.491126708984375000e+02
6.767141113281250000e+03,6.461931152343750000e+02
3.086127929687500000e+03,5.687006225585937500e+02
4.898468750000000000e+03,4.731806640625000000e+02
3.027384521484375000e+03,5.657381591796875000e+02
4.652368164062500000e+03,4.529079284667968750e+02
6.871180664062500000e+03,6.145916137695312500e+02
5.605962402343750000e+03,4.750815124511718750e+02
8.880417968750000000e+03,6.863865966796875000e+02
3.600907226562500000e+03,5.111667785644531250e+02
4.985795410156250000e+03,6.508659667968750000e+02
8.973968750000000000e+03,6.288394165039062500e+02
5.520307617187500000e+03,4.819462280273437500e+02
8.136875488281250000e+03,5.325459594726562500e+02
6.671025878906250000e+03,6.246309814453125000e+02
5.362971191406250000e+03,4.624613342285156250e+02
6.340466796875000000e+03,4.823642578125000000e+02
6.597218261718750000e+03,4.980860595703125000e+02
3.098859375000000000e+03,6.046879272460937500e+02
5.620515625000000000e+03,4.670128784179687500e+02
6.015182128906250000e+03,6.227026977539062500e+02
8.607914062500000000e+03,6.558691406250000000e+02
3.340200927734375000e+03,5.899708862304687500e+02
4.381903320312500000e+03,5.553807983398437500e+02
6.787275878906250000e+03,4.995891418457031250e+02
5.118732421875000000e+03,4.465798950195312500e+02
7.079901855468750000e+03,5.541563720703125000e+02
3.034247558593750000e+03,5.951897583007812500e+02
3.363747802734375000e+03,6.922495117187500000e+02
3.665895751953125000e+03,5.471984863281250000e+02
5.219846679687500000e+03,5.788780517578125000e+02
4.498041992187500000e+03,5.528095703125000000e+02
1.920961914062500000e+03,5.951921386718750000e+02
3.677871582031250000e+03,5.766241455078125000e+02
4.983344726562500000e+03,5.381669311523437500e+02
3.922146484375000000e+03,5.787115478515625000e+02
5.096999023437500000e+03,6.144699707031250000e+02
3.244381591796875000e+03,4.113454589843750000e+02
5.303609375000000000e+03,6.790404052734375000e+02
8.287088867187500000e+03,7.131352539062500000e+02
6.807960937500000000e+03,7.496614990234375000e+02
3.740535400390625000e+03,4.354322814941406250e+02
3.483793701171875000e+03,4.141421508789062500e+02
7.623025878906250000e+03,5.164686279296875000e+02
3.991419433593750000e+03,4.843961181640625000e+02
5.024583496093750000e+03,4.767393188476562500e+02
9.459596679687500000e+03,5.623334350585937500e+02
4.767385742187500000e+03,4.931313781738281250e+02
3.749102294921875000e+03,5.760460815429687500e+02
2.805328613281250000e+03,5.865005493164062500e+02
4.672771484375000000e+03,6.023524169921875000e+02
8.902515625000000000e+03,6.443925781250000000e+02
7.016949218750000000e+03,6.438776855468750000e+02
9.048969726562500000e+03,7.037752685546875000e+02
2.765985351562500000e+03,5.956738281250000000e+02
8.299393554687500000e+03,7.029229736328125000e+02
5.395506347656250000e+03,6.211373901367187500e+02
6.804209472656250000e+03,5.472918701171875000e+02
5.444621093750000000e+03,4.929809265136718750e+02
5.028649902343750000e+03,4.653670349121093750e+02
7.455758789062500000e+03,5.103925170898437500e+02
6.811084960937500000e+03,5.516898803710937500e+02
2.555796142578125000e+03,5.569001464843750000e+02
7.203152832031250000e+03,5.844761962890625000e+02
3.842800537109375000e+03,5.332745361328125000e+02
8.197085937500000000e+03,6.612752685546875000e+02
4.140103515625000000e+03,4.388827819824218750e+02
5.205359375000000000e+03,4.540932312011718750e+02
1.947412353515625000e+03,5.919084472656250000e+02
8.906289062500000000e+03,6.698232421875000000e+02
4.374092285156250000e+03,4.528819580078125000e+02
7.195975585937500000e+03,7.407702026367187500e+02
